"eventtime","user_arn","user_type","eventname","awsregion","errorcode","sourceipaddress","useragent","attempt_count"
"2020-05-05T18:05:46Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","217.242.1.56","Boto3/1.12.47 Python/3.8.1 Darwin/19.4.0 Botocore/1.15.47","42"
"2018-09-21T09:21:43Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","125.22.29.57","Boto3/1.7.84 Python/2.7.10 Darwin/16.7.0 Botocore/1.10.84","24"
"2018-09-21T09:21:46Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","125.22.29.57","Boto3/1.7.84 Python/2.7.10 Darwin/16.7.0 Botocore/1.10.84","24"
"2020-05-05T18:00:17Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","217.242.1.56","Boto3/1.12.47 Python/3.8.1 Darwin/19.4.0 Botocore/1.15.47","23"
"2020-05-05T18:00:16Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","217.242.1.56","Boto3/1.12.47 Python/3.8.1 Darwin/19.4.0 Botocore/1.15.47","23"
"2018-02-25T02:01:53Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","18"
"2018-02-25T02:24:57Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","18"
"2018-02-25T02:21:38Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T02:21:34Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T01:57:34Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T01:57:39Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T02:01:54Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T02:21:37Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T02:24:55Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2018-02-25T02:03:09Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","17"
"2019-03-07T20:33:45Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:34:21Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:35:32Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2018-02-25T01:57:38Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","16"
"2019-03-07T20:34:15Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:33:16Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2018-02-25T02:01:49Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","16"
"2019-03-07T20:34:40Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2018-02-25T02:01:52Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","16"
"2019-03-07T20:35:22Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:33:35Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:34:19Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2019-03-07T20:34:56Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2018-02-25T02:01:51Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","16"
"2019-03-07T20:34:02Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","16"
"2018-09-21T09:21:44Z","arn:aws:iam::811596193553:user/backup","IAMUser","AssumeRole","us-east-1","AccessDenied","125.22.29.57","Boto3/1.7.84 Python/2.7.10 Darwin/16.7.0 Botocore/1.10.84","16"
"2018-02-25T01:57:40Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","16"
"2018-02-25T02:03:10Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:03:13Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T01:57:41Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:21:40Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:21:33Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:04:41Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:03:07Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:04:42Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:24:52Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:03:11Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:24:59Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:24:53Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:24:58Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:24:50Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2018-02-25T02:01:47Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","112.255.154.122","Boto3/1.5.36 Python/2.7.12 Linux/4.9.75-linuxkit-aufs Botocore/1.8.50","15"
"2019-03-07T20:34:18Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:35:18Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:33:10Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:35:11Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:33:42Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:35:25Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:34:52Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:33:51Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:34:43Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:34:42Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:34:41Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:35:06Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:34:31Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:35:24Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:33:39Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
"2019-03-07T20:33:20Z","arn:aws:iam::811596193553:user/Level6","IAMUser","AssumeRole","us-east-1","AccessDenied","2.231.90.242","Boto3/1.9.109 Python/2.7.15+ Linux/4.4.0-01985-Microsoft Botocore/1.12.109","14"
