"eventTime","eventName","sourceIPAddress","arn","createDate","status","accessKeyId","errorCode","errorMessage"
"2018-08-11T17:40:25Z","CreateAccessKey","3.250.51.250","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2018-08-11T17:40:25Z","CreateAccessKey","3.250.51.250","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2018-08-11T17:40:26Z","CreateAccessKey","3.250.51.250","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2018-10-04T17:14:11Z","CreateAccessKey","117.188.2.147","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user Level6"
"2020-04-02T12:35:50Z","CreateAccessKey","205.204.210.8","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2020-04-03T08:13:34Z","CreateAccessKey","250.255.124.251","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2020-04-18T14:44:01Z","CreateAccessKey","59.225.38.252","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2020-05-14T13:04:09Z","CreateAccessKey","139.76.141.43","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2017-03-01T20:34:51Z","CreateAccessKey","204.252.37.154","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2017-03-01T20:36:58Z","CreateAccessKey","204.252.37.154","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2017-03-01T20:37:09Z","CreateAccessKey","204.252.37.154","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2017-09-17T07:23:51Z","CreateAccessKey","251.53.128.202","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user null"
"2017-09-17T14:59:23Z","CreateAccessKey","224.223.84.255","arn:aws:iam::811596193553:user/piper","""Sep 17, 2017 2:59:23 PM""","""Active""","""AKIAZY34U15OLS42SFCE""",,
"2017-09-17T14:59:54Z","CreateAccessKey","224.223.84.255","arn:aws:iam::811596193553:user/piper","""Sep 17, 2017 2:59:54 PM""","""Active""","""AKIA4FV6TQHG68IZOSVN""",,
"2017-09-17T15:06:42Z","CreateAccessKey","224.223.84.255","arn:aws:iam::811596193553:user/piper","""Sep 17, 2017 3:06:42 PM""","""Active""","""AKIA01U43UX3RBRDXF4Q""",,
"2018-01-23T10:24:41Z","CreateAccessKey","166.140.209.2","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2019-09-18T05:25:25Z","CreateAccessKey","3.10.240.206","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-09-30T06:36:10Z","CreateAccessKey","24.251.252.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-09-30T06:36:12Z","CreateAccessKey","24.251.252.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-09-30T06:36:16Z","CreateAccessKey","24.251.252.2","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2020-01-18T07:27:27Z","CreateAccessKey","8.101.151.38","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user Alice"
"2020-03-26T00:42:49Z","CreateAccessKey","246.109.177.250","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-01-19T20:05:12Z","CreateAccessKey","250.5.250.32","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user piper"
"2019-01-19T20:10:40Z","CreateAccessKey","250.5.250.32","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user piper"
"2019-02-24T00:48:35Z","CreateAccessKey","111.9.248.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user piper"
"2019-02-24T00:48:35Z","CreateAccessKey","111.9.248.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user piper"
"2019-02-24T00:48:43Z","CreateAccessKey","111.9.248.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-02-24T00:48:43Z","CreateAccessKey","111.9.248.2","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-05-16T08:18:59Z","CreateAccessKey","147.81.243.93","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-05-16T08:18:59Z","CreateAccessKey","147.81.243.93","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-06-07T11:21:47Z","CreateAccessKey","2.251.2.5","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backups"
"2019-06-07T11:21:47Z","CreateAccessKey","2.251.2.5","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user backups"
"2019-07-30T02:59:36Z","CreateAccessKey","198.3.215.7","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-07-30T02:59:36Z","CreateAccessKey","198.3.215.7","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user backup"
"2019-08-21T07:41:21Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-08-21T07:41:21Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-08-21T07:41:22Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-08-21T07:41:22Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/Level6",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user nullLevel6"
"2019-08-21T07:41:27Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
"2019-08-21T07:41:27Z","CreateAccessKey","5.205.62.253","arn:aws:iam::811596193553:user/backup",,,,"AccessDenied","User: arn:aws:iam::811596193553:user/backup is not authorized to perform: iam:CreateAccessKey on resource: user nullbackup"
