"eventTime","sourceIPAddress","errorMessage","awsRegion","UserName","MFAUsed"
"2020-10-06T21:10:45Z","3.1.254.37",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2020-10-07T15:52:02Z","3.1.254.37",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-18T19:20:48Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23%2Froles%2Fflaws&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-19T15:37:15Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://us-west-2.console.aws.amazon.com/ec2/v2/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-21T04:35:07Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-24T01:38:25Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-26T17:48:22Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23%26bucket%3Dlevel2-295510a051f3fcd006ae345973478972.flaws.cloud%26prefix%3D&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-27T13:07:23Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://us-west-2.console.aws.amazon.com/cloudtrail/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-28T01:24:10Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/billing/home?state=hashArgs%23%2Faccount&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-02-28T17:35:07Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-02T00:06:14Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-03T03:45:55Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-03T22:26:05Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-04T23:22:17Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbudgets&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-05T17:51:13Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbill%3Fyear%3D2017%26month%3D3&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-08T05:22:38Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/billing/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-10T22:47:43Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-14T01:49:36Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-03-25T20:57:27Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-04-01T18:46:57Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-04-03T00:44:29Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-04-09T21:33:24Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-16T03:02:01Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-16T23:03:08Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-16T23:05:01Z","255.253.125.115",,"us-east-1","piper","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2017-05-17T23:23:34Z","8.120.255.102","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2017-05-17T23:23:41Z","8.120.255.102","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2017-05-24T17:20:52Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
