"occurrences","event_name","user_arn"
"11603","AssumeRole","arn:aws:iam::811596193553:user/backup"
"7279","GetBucketAcl","arn:aws:iam::811596193553:user/backup"
"5268","AssumeRole","arn:aws:iam::811596193553:user/Level6"
"4652","GetBucketAcl","arn:aws:iam::811596193553:user/Level6"
"2244","GenerateCredentialReport","arn:aws:iam::811596193553:user/backup"
"1979","GetBucketNotification","arn:aws:iam::811596193553:user/Level6"
"1774","GetRestApis","arn:aws:iam::811596193553:user/Level6"
"1702","GetBucketLifecycle","arn:aws:iam::811596193553:user/Level6"
"1565","GetBucketLocation","arn:aws:iam::811596193553:user/Level6"
"1540","DescribeLoadBalancers","arn:aws:iam::811596193553:user/backup"
"1401","GetBucketPolicy","arn:aws:iam::811596193553:user/Level6"
"1394","GetBucketLogging","arn:aws:iam::811596193553:user/Level6"
"1363","GetBucketEncryption","arn:aws:iam::811596193553:user/Level6"
"1231","GetBucketVersioning","arn:aws:iam::811596193553:user/Level6"
"1191","GetBucketWebsite","arn:aws:iam::811596193553:user/Level6"
"1128","ListTopics","arn:aws:iam::811596193553:user/Level6"
"1109","GetBucketTagging","arn:aws:iam::811596193553:user/Level6"
"999","GetBucketReplication","arn:aws:iam::811596193553:user/Level6"
"995","ListBuckets","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"991","GetBucketCors","arn:aws:iam::811596193553:user/Level6"
"990","GetBucketPolicyStatus","arn:aws:iam::811596193553:user/Level6"
"988","GetBucketRequestPayment","arn:aws:iam::811596193553:user/Level6"
"889","DescribeDBInstances","arn:aws:iam::811596193553:user/backup"
"874","GetFunction202224v2","arn:aws:iam::811596193553:user/Level6"
"866","DescribeTrails","arn:aws:iam::811596193553:user/backup"
"864","ListFunctions202224","arn:aws:iam::811596193553:user/backup"
"781","DescribeDBSecurityGroups","arn:aws:iam::811596193553:user/backup"
"777","ListTopics","arn:aws:iam::811596193553:user/backup"
"771","ListClusters","arn:aws:iam::811596193553:user/backup"
"761","DescribeDBSnapshots","arn:aws:iam::811596193553:user/backup"
"723","DescribeDBParameterGroups","arn:aws:iam::811596193553:user/backup"
"722","ListSubscriptions","arn:aws:iam::811596193553:user/Level6"
"717","DescribeDBSubnetGroups","arn:aws:iam::811596193553:user/backup"
"692","DescribeAlarms","arn:aws:iam::811596193553:user/backup"
"680","DescribeCacheSecurityGroups","arn:aws:iam::811596193553:user/backup"
"656","DescribeCacheClusters","arn:aws:iam::811596193553:user/backup"
"644","GetFunctionConfiguration202224v2","arn:aws:iam::811596193553:user/Level6"
"584","DescribeFileSystems","arn:aws:iam::811596193553:user/backup"
"556","DescribeConfigurationRecorderStatus","arn:aws:iam::811596193553:user/Level6"
"533","GetBucketVersioning","arn:aws:iam::811596193553:user/backup"
"517","GetBucketPolicy","arn:aws:iam::811596193553:user/backup"
"517","DescribeConfigurationRecorders","arn:aws:iam::811596193553:user/Level6"
"515","DescribeClusters","arn:aws:iam::811596193553:user/backup"
"496","GetUser","arn:aws:iam::811596193553:user/backup"
"472","GetBucketLogging","arn:aws:iam::811596193553:user/backup"
"469","GetBucketWebsite","arn:aws:iam::811596193553:user/backup"
"458","DescribeConfigurationRecorderStatus","arn:aws:iam::811596193553:user/backup"
"453","ListStacks","arn:aws:iam::811596193553:user/backup"
"436","DescribeClusterSecurityGroups","arn:aws:iam::811596193553:user/backup"
"436","DescribeClusterParameterGroups","arn:aws:iam::811596193553:user/backup"
"419","DescribeConfigurationRecorders","arn:aws:iam::811596193553:user/backup"
"414","DescribeConfigRules","arn:aws:iam::811596193553:user/Level6"
"406","DescribeCacheParameterGroups","arn:aws:iam::811596193553:user/backup"
"394","DescribeConfigRules","arn:aws:iam::811596193553:user/backup"
"393","DescribeCacheSubnetGroups","arn:aws:iam::811596193553:user/backup"
"382","GetBucketEncryption","arn:aws:iam::811596193553:user/backup"
"344","DescribeStacks","arn:aws:iam::811596193553:user/backup"
"335","ListCertificates","arn:aws:iam::811596193553:user/backup"
"331","ListUsers","arn:aws:iam::811596193553:user/backup"
"318","ListIdentities","arn:aws:iam::811596193553:user/Level6"
"304","ListSubscriptions","arn:aws:iam::811596193553:user/backup"
"290","ListKeys","arn:aws:iam::811596193553:user/backup"
"274","ListPolicies","arn:aws:iam::811596193553:user/backup"
"247","GetKeyRotationStatus","arn:aws:iam::811596193553:user/Level6"
"238","GetBucketAcl",
"234","ListIdentities","arn:aws:iam::811596193553:user/backup"
"214","GetKeyPolicy","arn:aws:iam::811596193553:user/Level6"
"210","ListSecrets","arn:aws:iam::811596193553:user/backup"
"197","GetInstances","arn:aws:iam::811596193553:user/Level6"
"196","DescribeDBInstances","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"193","GetUser","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"192","ListBuckets","arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a"
"192","GenerateCredentialReport","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"187","ListGroups","arn:aws:iam::811596193553:user/backup"
"182","DescribeDeliveryChannels","arn:aws:iam::811596193553:user/Level6"
"181","GetAccountSummary","arn:aws:iam::811596193553:user/backup"
"181","ListPipelines","arn:aws:iam::811596193553:user/backup"
"178","GetApiKeys","arn:aws:iam::811596193553:user/Level6"
"178","GetDomainNames","arn:aws:iam::811596193553:user/Level6"
"173","GetBucketTagging","arn:aws:iam::811596193553:user/backup"
"168","DescribeDBSubnetGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"166","ListSecrets","arn:aws:iam::811596193553:user/Level6"
"164","ListStreams","arn:aws:iam::811596193553:user/backup"
"162","ListJobs","arn:aws:iam::811596193553:user/backup"
"157","ListProjects","arn:aws:iam::811596193553:user/backup"
"157","GetLoadBalancers","arn:aws:iam::811596193553:user/Level6"
"153","DescribeEventCategories","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"151","DescribeDBParameterGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"150","DescribeDBSnapshots","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"149","GenerateServiceLastAccessedDetails","arn:aws:iam::811596193553:user/Level6"
"148","ListRoles","arn:aws:iam::811596193553:user/backup"
"148","ListUserPolicies","arn:aws:iam::811596193553:user/backup"
"148","DescribeDBSecurityGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"145","ListTables","arn:aws:iam::811596193553:user/backup"
"145","DescribeConnections","arn:aws:iam::811596193553:user/backup"
"144","GetBucketLocation",
"143","ListBuilds","arn:aws:iam::811596193553:user/backup"
"142","ListApplications","arn:aws:iam::811596193553:user/backup"
"142","ListAccountAliases","arn:aws:iam::811596193553:user/backup"
"140","ListFunctions202224","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"139","GetBucketPolicy",
"137","DescribeEventSubscriptions","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"137","DescribeEventSubscriptions","arn:aws:iam::811596193553:user/backup"
"134","ListPipelines","arn:aws:iam::811596193553:user/Level6"
"133","DescribeMetricFilters","arn:aws:iam::811596193553:user/backup"
"128","GetBucketWebsite",
"127","GetBucketCors",
"127","ListJobs","arn:aws:iam::811596193553:user/Level6"
"124","DescribeDBClusters","arn:aws:iam::811596193553:user/backup"
"123","ListAliases","arn:aws:iam::811596193553:user/backup"
"122","ListRules","arn:aws:iam::811596193553:user/backup"
"122","DescribeEventCategories","arn:aws:iam::811596193553:user/backup"
"121","DescribeDBEngineVersions","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"118","ListHostedZones","arn:aws:iam::811596193553:user/backup"
"117","DescribeDBClusterSnapshots","arn:aws:iam::811596193553:user/backup"
"116","ListDomainNames","arn:aws:iam::811596193553:user/backup"
"112","ListAccessKeys","arn:aws:iam::811596193553:user/backup"
"111","ListClusters","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"109","GetAccountAuthorizationDetails","arn:aws:iam::811596193553:user/backup"
"109","DescribeLoadBalancers","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"108","DescribeAccountAttributes","arn:aws:iam::811596193553:user/backup"
"106","GetAccountPasswordPolicy","arn:aws:iam::811596193553:user/backup"
"105","DescribeReservedDBInstances","arn:aws:iam::811596193553:user/backup"
"98","GetBucketPublicAccessBlock","arn:aws:iam::811596193553:user/Level6"
"97","DescribeClusters","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"96","DescribeDBEngineVersions","arn:aws:iam::811596193553:user/backup"
"93","GetAccount","arn:aws:iam::811596193553:user/Level6"
"92","DeleteBucket","arn:aws:iam::811596193553:user/Level6"
"89","CreateBucket","arn:aws:iam::811596193553:user/Level6"
"88","ListStreamingDistributions2019_03_26","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"88","ListDistributions2019_03_26","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"87","DescribeOptionGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"86","ListCloudFrontOriginAccessIdentities2019_03_26","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"85","DescribeReservedDBInstances","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"85","DescribeReservedDBInstancesOfferings","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"85","ListPresets","arn:aws:iam::811596193553:user/Level6"
"84","DescribeLogGroups","arn:aws:iam::811596193553:user/backup"
"81","ListJobs","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"80","DiscoverPollEndpoint","arn:aws:iam::811596193553:user/Level6"
"78","ListAttachedUserPolicies","arn:aws:iam::811596193553:user/backup"
"78","GetCredentialReport","arn:aws:iam::811596193553:user/backup"
"76","ListChannels","arn:aws:iam::811596193553:user/Level6"
"75","GetRestApis","arn:aws:iam::811596193553:user/backup"
"74","ListClusters","arn:aws:iam::811596193553:user/Level6"
"74","ListUsers","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"74","ListPresets","arn:aws:iam::811596193553:user/backup"
"74","ListFleets","arn:aws:iam::811596193553:user/backup"
"74","ListPolicies","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"72","GetBucketPublicAccessBlock","arn:aws:iam::811596193553:user/backup"
"71","DescribeAccountLimits","arn:aws:iam::811596193553:user/backup"
"70","ListIPSets","arn:aws:iam::811596193553:user/backup"
"68","ListGroupsForUser","arn:aws:iam::811596193553:user/backup"
"68","DescribeAccountAttributes","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"68","ListChannels","arn:aws:iam::811596193553:user/backup"
"68","ListDeliveryStreams","arn:aws:iam::811596193553:user/backup"
"67","DescribeEvents","arn:aws:iam::811596193553:user/backup"
"66","DescribeOptionGroups","arn:aws:iam::811596193553:user/backup"
"66","ListSqlInjectionMatchSets","arn:aws:iam::811596193553:user/backup"
"66","ListRegexPatternSets","arn:aws:iam::811596193553:user/backup"
"66","ListGeoMatchSets","arn:aws:iam::811596193553:user/backup"
"66","ListApplications","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"66","ListRegexMatchSets","arn:aws:iam::811596193553:user/backup"
"66","ListXssMatchSets","arn:aws:iam::811596193553:user/backup"
"65","GetBucketLogging",
"65","GetRestApi","arn:aws:iam::811596193553:user/Level6"
"65","GetUsagePlans","arn:aws:iam::811596193553:user/Level6"
"65","ListTopics","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"65","ListByteMatchSets","arn:aws:iam::811596193553:user/backup"
"65","GetDomainNames","arn:aws:iam::811596193553:user/backup"
"65","ListInstanceProfiles","arn:aws:iam::811596193553:user/backup"
"65","DescribeReservedDBInstancesOfferings","arn:aws:iam::811596193553:user/backup"
"65","GetBucketReplication",
"65","GetInstances","arn:aws:iam::811596193553:user/backup"
"64","DescribeCacheSecurityGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"64","DescribeTrails","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"64","ListDirectories","arn:aws:iam::811596193553:user/backup"
"64","DescribeCacheClusters","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"64","GetClientCertificates","arn:aws:iam::811596193553:user/Level6"
"64","GetBundles","arn:aws:iam::811596193553:user/backup"
"64","GetOperations","arn:aws:iam::811596193553:user/backup"
"63","ListInvitations","arn:aws:iam::811596193553:user/backup"
"63","ListSubscriptions","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"63","PutBucketWebsite",
"63","ListPipelines","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"63","GetBucketLifecycle",
"62","PutBucketNotification",
"62","PutBucketAcl",
"62","PutBucketPolicy",
"62","ListFindings","arn:aws:iam::811596193553:user/backup"
"62","PutBucketLogging",
"62","ListOperations","arn:aws:iam::811596193553:user/backup"
"62","GetBucketNotification",
"62","PutBucketTagging",
"62","GetBucketTagging",
"62","PutBucketLifecycle",
"62","PutBucketCors",
"62","ListRateBasedRules","arn:aws:iam::811596193553:user/backup"
"61","DescribeStacks","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"61","ListRules","arn:aws:iam::811596193553:user/Level6"
"61","ListDistributions2019_03_26","arn:aws:iam::811596193553:user/backup"
"60","GetAuthorizationToken","arn:aws:iam::811596193553:user/backup"
"60","ListDomains","arn:aws:iam::811596193553:user/backup"
"60","ListStreamingDistributions2019_03_26","arn:aws:iam::811596193553:user/backup"
"59","DescribeCertificates","arn:aws:iam::811596193553:user/backup"
"59","DescribeFileSystems","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"59","DescribeAutoScalingGroups","arn:aws:iam::811596193553:user/backup"
"59","ListIPSets","arn:aws:iam::811596193553:user/Level6"
"58","ListNotebookInstances","arn:aws:iam::811596193553:user/backup"
"57","ListExports","arn:aws:iam::811596193553:user/Level6"
"56","ListLoggingConfigurations","arn:aws:iam::811596193553:user/backup"
"56","ListAccounts","arn:aws:iam::811596193553:user/backup"
"54","ListLoggingConfigurations","arn:aws:iam::811596193553:user/Level6"
"54","ListServers","arn:aws:iam::811596193553:user/backup"
"54","ListTasks","arn:aws:iam::811596193553:user/backup"
"54","ListSqlInjectionMatchSets","arn:aws:iam::811596193553:user/Level6"
"54","ListQueryExecutions","arn:aws:iam::811596193553:user/backup"
"54","ListFieldLevelEncryptionConfigs2019_03_26","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"54","ListNamedQueries","arn:aws:iam::811596193553:user/backup"
"53","ListDevelopmentSchemaArns","arn:aws:iam::811596193553:user/backup"
"53","ListRoles","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"53","AssumeRole","arn:aws:iam::811596193553:user/SecurityMokey"
"53","ListApps","arn:aws:iam::811596193553:user/backup"
"53","GetBlueprints","arn:aws:iam::811596193553:user/backup"
"53","GetDiskSnapshots","arn:aws:iam::811596193553:user/backup"
"53","ListExports","arn:aws:iam::811596193553:user/backup"
"53","ListMFADevices","arn:aws:iam::811596193553:user/backup"
"53","ListXssMatchSets","arn:aws:iam::811596193553:user/Level6"
