"occurrences","user_arn","source_ip_address","user_agent"
"1206","arn:aws:iam::811596193553:user/backup","5.205.62.253","Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-157-generic Botocore/1.12.201"
"1202","arn:aws:iam::811596193553:user/Level6","5.205.62.253","Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-157-generic Botocore/1.12.201"
"1148","arn:aws:iam::811596193553:user/backup","5.205.62.253","Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-159-generic Botocore/1.12.201"
"1141","arn:aws:iam::811596193553:user/Level6","5.205.62.253","Boto3/1.9.201 Python/2.7.12 Linux/4.4.0-159-generic Botocore/1.12.201"
"210","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a","42.157.9.48","aws-cli/1.16.209 Python/2.7.14 Darwin/18.6.0 botocore/1.12.199"
"192","arn:aws:iam::811596193553:user/Level6","253.252.7.168","aws-cli/1.16.148 Python/3.6.8 Linux/4.19.0-kali3-amd64 botocore/1.12.138"
"181","arn:aws:iam::811596193553:user/backup","155.63.17.217","Boto3/1.7.4 Python/2.7.12 Linux/4.4.0-119-generic Botocore/1.10.4"
"138","arn:aws:iam::811596193553:user/backup","211.111.151.81","Boto3/1.9.192 Python/3.5.3 Linux/4.9.0-9-amd64 Botocore/1.12.192"
"100","arn:aws:iam::811596193553:user/Level6","9.245.1.85","aws-cli/1.16.35 Python/2.7.15 Linux/4.16.0-kali2-amd64 botocore/1.12.25"
"100","arn:aws:iam::811596193553:user/backup","140.146.2.116","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"96","arn:aws:iam::811596193553:user/Level6","251.105.254.1","aws-cli/1.16.292 Python/2.7.17 Linux/5.4.0-2-amd64 botocore/1.13.28"
"96","arn:aws:iam::811596193553:user/Level6","255.171.1.252","aws-cli/1.16.292 Python/2.7.17 Linux/4.9.184-linuxkit botocore/1.13.28"
"88","arn:aws:iam::811596193553:user/backup","20.170.78.254","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"83","arn:aws:iam::811596193553:user/Level6","255.171.1.252","Boto3/1.14.51 Python/3.8.5 Linux/4.19.76-linuxkit Botocore/1.17.51"
"83","arn:aws:iam::811596193553:user/Level6","9.240.250.1","Boto3/1.14.51 Python/3.8.5 Linux/4.19.76-linuxkit Botocore/1.17.51"
"82","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a","84.239.80.5","Boto3/1.14.6 Python/3.8.4 Linux/5.5.0-kali2-amd64 Botocore/1.17.6"
"55","arn:aws:iam::811596193553:user/Level6","233.253.251.0","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"54","arn:aws:iam::811596193553:user/backup","49.253.2.144","Boto3/1.14.41 Python/3.7.3 Linux/4.19.0-kali1-amd64 Botocore/1.17.41"
"53","arn:aws:iam::811596193553:user/backup","1.198.254.60","Boto3/1.4.7 Python/2.7.13 Darwin/16.7.0 Botocore/1.7.38"
"51","arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a","203.1.178.243","aws-sdk-go/1.34.4 (go1.14.5; linux; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.13.0 (+https://www.terraform.io)"
"50","arn:aws:iam::811596193553:user/backup","202.157.9.237","Boto3/1.7.4 Python/3.6.7 Linux/4.15.0-47-generic Botocore/1.10.4"
"48","arn:aws:iam::811596193553:user/Level6","6.6.251.67","AWSPowerShell/3.3.563.1 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"48","arn:aws:iam::811596193553:user/Level6","155.251.168.5","Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105"
