"eventtime","user_arn","bucketName","bucket_acl","sourceipaddress","eventname","awsregion","acl_details","useragent"
"2020-09-22T02:00:15Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-23T02:00:17Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-23T17:11:39Z",,"""flaws.cloud""","""""","1.250.4.5","PutBucketAcl","us-west-2",,"[Boto3/1.14.13 Python/3.8.5 Linux/5.6.0-kali2-amd64 Botocore/1.17.13]"
"2020-09-23T17:15:25Z",,"""flaws.cloud""","""""","250.26.255.4","PutBucketAcl","us-west-2",,"[Boto3/1.14.13 Python/3.8.5 Linux/5.6.0-kali2-amd64 Botocore/1.17.13]"
"2020-09-24T02:00:11Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-26T02:00:17Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-27T02:00:15Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-28T02:00:15Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-29T02:00:18Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-09-29T10:08:26Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
