"eventTime","eventSource","MFAUsed","sourceIPAddress","userAgent"
"2017-02-18T19:20:48Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23%2Froles%2Fflaws&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-19T15:37:15Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/ec2/v2/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-21T04:35:07Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-24T01:38:25Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-26T17:48:22Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23%26bucket%3Dlevel2-295510a051f3fcd006ae345973478972.flaws.cloud%26prefix%3D&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-27T13:07:23Z","signin.amazonaws.com","{""LoginTo"":""https://us-west-2.console.aws.amazon.com/cloudtrail/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-28T01:24:10Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?state=hashArgs%23%2Faccount&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-02-28T17:35:07Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-02T00:06:14Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-03T03:45:55Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-03T22:26:05Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-04T23:22:17Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbudgets&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-05T17:51:13Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?ref_=pe_63962_92391&state=hashArgs%23%2Fbill%3Fyear%3D2017%26month%3D3&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-08T05:22:38Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/billing/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
"2017-03-10T22:47:43Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-03-14T01:49:36Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
